# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	8	5	3	E	5.5655688e-02	1.3936006e+02	1.6946617e+02	-1.0000010e-02
0	0	8	6	0	T	5.5505805e-02	1.4682703e+02	1.6720239e+02	-1.0000009e-02
0	0	8	6	0	E	5.0002307e-02	1.2911140e+02	1.6588852e+02	-1.0000008e-02
0	0	8	6	1	T	5.6293540e-02	1.3419777e+02	1.6815887e+02	-1.0000028e-02
0	0	8	6	1	E	4.7766894e-02	1.2914020e+02	1.6572871e+02	-1.0000021e-02
0	0	8	6	2	T	5.7252936e-02	1.3580431e+02	1.6709589e+02	-1.0000513e-02
0	0	8	6	2	E	5.0734729e-02	1.2972235e+02	1.6589030e+02	-1.0000041e-02
0	0	8	6	3	T	2.6613288e-02	1.2772348e+02	1.6813849e+02	-1.0000001e-02
0	0	8	6	3	E	4.9796313e-02	1.2914774e+02	1.6466653e+02	-1.0000003e-02
0	0	8	7	0	T	4.6388678e-02	1.4566011e+02	1.6429826e+02	-1.0000001e-02
0	0	8	7	0	E	4.6706408e-02	1.2270320e+02	1.5708144e+02	-1.0000043e-02
0	0	8	7	1	T	2.6701026e-02	1.2949063e+02	1.6396762e+02	-1.0000021e-02
0	0	8	7	1	E	3.8977832e-02	1.2258067e+02	1.5708908e+02	-1.0000230e-02
0	0	8	7	2	T	5.4378562e-02	1.3369304e+02	1.6398668e+02	-1.0000002e-02
0	0	8	7	2	E	5.0048083e-02	1.2311430e+02	1.5713306e+02	-1.0000055e-02
0	0	8	7	3	T	5.7066016e-02	1.3080629e+02	1.6439891e+02	-1.0000408e-02
0	0	8	7	3	E	2.4527758e-02	1.1977464e+02	1.5682434e+02	-1.0000001e-02
0	0	8	8	0	T	5.5046134e-02	1.5005791e+02	1.7351555e+02	-1.0000002e-02
0	0	8	8	0	E	3.0226916e-02	1.2341637e+02	1.6606577e+02	-1.0000006e-02
0	0	8	8	1	T	5.6549124e-02	1.3710550e+02	1.7373700e+02	-9.9999998e-03
0	0	8	8	1	E	1.8904895e-02	1.2332545e+02	1.6571436e+02	-9.9999998e-03
0	0	8	8	2	T	5.5507712e-02	1.3807622e+02	1.7333275e+02	-1.0000001e-02
0	0	8	8	2	E	3.0715197e-02	1.2742085e+02	1.6562959e+02	-1.0000048e-02
0	0	8	8	3	T	2.7673773e-02	1.3294545e+02	1.7294032e+02	-1.0000021e-02
0	0	8	8	3	E	2.0575732e-02	1.2391266e+02	1.6544777e+02	-1.0000006e-02
0	0	8	9	0	T	6.2217765e-02	1.5107597e+02	1.7477982e+02	-1.0000001e-02
0	0	8	9	0	E	5.6723803e-02	1.2270835e+02	1.5323088e+02	-1.0000534e-02
0	0	8	9	1	T	6.2477164e-02	1.4128822e+02	1.7396335e+02	-1.0000027e-02
0	0	8	9	1	E	5.6334704e-02	1.2484504e+02	1.5292094e+02	-1.0000001e-02
0	0	8	9	2	T	6.2532477e-02	1.4073419e+02	1.7359218e+02	-1.0000059e-02
0	0	8	9	2	E	3.8901538e-02	1.2310612e+02	1.5336713e+02	-1.0000004e-02
0	0	8	9	3	T	6.2871985e-02	1.3981218e+02	1.7328552e+02	-1.0254787e-02
0	0	8	9	3	E	5.6533068e-02	1.2308788e+02	1.5357999e+02	-1.0000012e-02
0	0	8	10	0	T	6.2295966e-02	1.4711572e+02	1.7341496e+02	-1.0000001e-02
0	0	8	10	0	E	5.6212634e-02	1.3336095e+02	1.5980493e+02	-1.0000001e-02
0	0	8	10	1	T	5.1652960e-02	1.3664601e+02	1.7252409e+02	-1.0000001e-02
0	0	8	10	1	E	5.5945605e-02	1.3085063e+02	1.5942421e+02	-1.0000006e-02
0	0	8	10	2	T	6.0710959e-02	1.3259914e+02	1.7216554e+02	-1.0000193e-02
0	0	8	10	2	E	5.6212634e-02	1.3097575e+02	1.5895003e+02	-9.9999998e-03
0	0	8	10	3	T	6.2419944e-02	1.3512364e+02	1.7324004e+02	-1.0000002e-02
0	0	8	10	3	E	5.6174487e-02	1.3206050e+02	1.5928566e+02	-9.9999998e-03
0	0	8	11	0	T	6.2418036e-02	1.4311650e+02	1.7156842e+02	-1.0000004e-02
0	0	8	11	0	E	5.5892199e-02	1.4157309e+02	1.7270973e+02	-1.0000059e-02
0	0	8	11	1	T	5.1523261e-02	1.2728622e+02	1.7182506e+02	-9.9999998e-03
0	0	8	11	1	E	5.5663317e-02	1.3822699e+02	1.7202995e+02	-1.0000001e-02
0	0	8	11	2	T	6.2547736e-02	1.3076025e+02	1.7179062e+02	-1.0000019e-02
0	0	8	11	2	E	5.6037158e-02	1.3929886e+02	1.7326726e+02	-1.0000041e-02
0	0	8	11	3	T	6.1920218e-02	1.2862726e+02	1.7142772e+02	-1.0000040e-02
0	0	8	11	3	E	3.9931506e-02	1.3641962e+02	1.7260156e+02	-1.0000003e-02
0	0	8	12	0	T	5.2471213e-02	1.4758745e+02	1.7903726e+02	-1.0000006e-02
0	0	8	12	0	E	5.4900378e-02	1.2974188e+02	1.5528085e+02	-9.9999998e-03
0	0	8	12	1	T	6.2536292e-02	1.3675192e+02	1.7882997e+02	-1.0000001e-02
0	0	8	12	1	E	5.3969592e-02	1.2892841e+02	1.5586407e+02	-1.0000001e-02
0	0	8	12	2	T	6.1790518e-02	1.3656084e+02	1.7799678e+02	-1.0000101e-02
0	0	8	12	2	E	4.6179980e-02	1.2719508e+02	1.5503358e+02	-9.9999998e-03
0	0	8	12	3	T	6.2614493e-02	1.3300572e+02	1.7759021e+02	-1.0000007e-02
0	0	8	12	3	E	4.5287341e-02	1.2635050e+02	1.5571419e+02	-1.0000004e-02
0	0	8	13	0	T	6.7049079e-02	1.4840619e+02	1.7142796e+02	-1.0000302e-02
0	0	8	13	0	E	6.3246936e-02	1.2554855e+02	1.6533011e+02	-1.0000033e-02
0	0	8	13	1	T	6.8355612e-02	1.3520796e+02	1.7041953e+02	-1.0000001e-02
0	0	8	13	1	E	6.2323779e-02	1.2367284e+02	1.6448625e+02	-9.9999998e-03
0	0	8	13	2	T	6.8342261e-02	1.3292867e+02	1.7078383e+02	-1.0000005e-02
0	0	8	13	2	E	6.2796801e-02	1.2428806e+02	1.6458644e+02	-1.0000193e-02
0	0	8	13	3	T	6.8496756e-02	1.3230115e+02	1.7165082e+02	-1.0000009e-02
